node,attack_score
6274,0.0807884920311443
203,0.08061343066257284
4360,0.08052146212890873
593,0.08036667664680763
5054,0.08021525158359649
7269,0.07990178348178442
11772,0.0796849657398743
3424,0.07950872432431261
35,0.07932408896962018
116,0.07932174484249559
3775,0.07894602118602707
28347,0.07873344518891015
5522,0.0787004687865472
52,0.07865228948076868
10938,0.07824327376142745
1456,0.07808975645821413
2941,0.07786062349361023
6257,0.07775046863001667
1296,0.07748245635112229
2300,0.07729357229003614
17211,0.07723881072540284
264,0.07708417989648118
3137,0.07684825630514858
3161,0.07676970208330576
2243,0.07670004802185301
693,0.07657815336207079
4235,0.07626709310973366
21570,0.07624730861402651
56099,0.07614975692546126
5390,0.07609335518694514
4455,0.07591512273000967
2387,0.07578122050797023
121710,0.07559803506965627
1825,0.0755621526098457
16232,0.0755521134623592
6799,0.07518393708189199
1092,0.07500026945622018
1166,0.07494102662400698
3089,0.0746507347937615
29886,0.07462678448973346
3626,0.07459902426599076
5773,0.07456752374476103
1485,0.07434253213193501
26084,0.07434207162502246
3141,0.07426616279034413
2540,0.0742280400107562
2486,0.07421535450998348
11824,0.07412304063347182
2335,0.07406376955077848
9384,0.07377687407982923
17069,0.07372554789782942
4313,0.07354127833952176
27027,0.0735112873387799
1302,0.07344890559143472
14650,0.07343818934136967
9622,0.07339684063009091
50490,0.07332101721469089
1902,0.07330416710235889
1441,0.07326187322522254
6349,0.07310845725696587
2276,0.07309161903434372
2332,0.07295371501943754
8831,0.07293147421708851
18839,0.07287202569683884
15854,0.07278315891459224
1466,0.07275719006170273
904,0.07228750237271986
48759,0.07202450788543756
3205,0.07183690241743254
14407,0.07176861770153702
8665,0.07150605972844172
11604,0.07143439259608253
21639,0.07141285627317207
2751,0.07141007723329179
3204,0.07132294809454079
552,0.07129668360406279
28937,0.07127997794083618
52774,0.07126246848394396
30708,0.0711126245726296
9846,0.07110409140205125
14633,0.07109356955523471
1378,0.07104646807268258
247,0.07099216916073439
40440,0.07097759941168137
2398,0.07089674889117402
3805,0.07088210652404853
28086,0.0708204465531006
9675,0.07077736237021753
14824,0.07066942147736487
46720,0.07065573467857603
470,0.07064080267604736
2287,0.07058942694174207
1510,0.07056753653760683
1607,0.07044821315842029
1895,0.07040921787759467
24101,0.07029015993424725
475,0.07024768972679002
23532,0.07020933396365119
3399,0.07005398035604112
7906,0.06994600533495307
7406,0.06994473973458548
694,0.06992689280375612
2914,0.06987397558045591
13268,0.06978775202833522
13267,0.06970085235213311
1831,0.06966978816097895
11912,0.06954605785022953
1418,0.06947452397489551
1026,0.06946064124967441
1370,0.06945931037950177
7130,0.06934915580125618
3543,0.06919835255963512
5658,0.0691900495130327
2040,0.0691138087623748
918,0.06903776544624815
1494,0.06894890520101164
2271,0.06891658940908857
22614,0.06880804836008309
3845,0.06858589433038166
11239,0.06858550267255983
77232,0.0682705932230198
1946,0.0680595009096818
6298,0.06802967785122715
12181,0.06802408138661545
1017,0.06800473334259154
5079,0.06797591098285467
58399,0.06741768182071281
7588,0.06739634015796228
3880,0.06726431314815695
25188,0.06712373321137596
3211,0.0671142508933465
10862,0.06710610827848797
9823,0.06698466723845
44721,0.0668874547676227
9282,0.06688557259970426
1547,0.06683401069787183
2362,0.06661801952445541
5135,0.06655533360956017
7281,0.06623675053137314
22057,0.06623616139876723
21621,0.06610740772081136
4940,0.06600451996834625
4809,0.06598409428535501
39239,0.06596986619312431
3171,0.06592669708513349
4167,0.06592115024692013
1482,0.06587751604428829
2364,0.06584037849742715
38324,0.06570421312221082
3231,0.0656570526981815
2286,0.06555619771056882
14930,0.06544796941722554
4320,0.06535595349957729
